CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,TRAFFIC_CONTROL_DEVICE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_TOTAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,BEAT_OF_OCCURRENCE,STREET_NAME,LATITUDE,LONGITUDE,DATE_POLICE_NOTIFIED,year
CR00000000,03/04/2022 07:01:00 AM,40,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,7,6,3,1052,OGDEN AVE,41.773468,-87.801162,03/04/2022 07:15:00 AM,2022
CR00000001,10/01/2021 01:35:00 AM,35,RAIN,DAYLIGHT,REAR END,T-INTERSECTION,NO CONTROLS,FAILING TO REDUCE SPEED,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,1,6,10,1493,STATE ST,41.894965,-87.65927,10/01/2021 02:04:00 AM,2021
CR00000002,09/28/2016 08:48:00 AM,30,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,TRAFFIC SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,0,0,0,0,8,4,9,1650,CICERO AVE,41.727824,-87.816149,09/28/2016 10:37:00 AM,2016
CR00000003,03/11/2021 10:53:00 AM,20,CLEAR,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,T-INTERSECTION,NO CONTROLS,UNABLE TO DETERMINE,NOT APPLICABLE,0,0,0,0,10,5,3,1053,ASHLAND AVE,41.965636,-87.723428,03/11/2021 11:18:00 AM,2021
CR00000004,04/06/2019 10:29:00 AM,30,CLOUDY/OVERCAST,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STOP SIGN/FLASHER,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,0,0,0,0,10,7,4,2287,ROOSEVELT RD,41.80945,-87.720437,04/06/2019 10:56:00 AM,2019
CR00000005,09/29/2017 07:29:00 AM,30,SNOW,DAYLIGHT,REAR TO FRONT,T-INTERSECTION,NO CONTROLS,UNABLE TO DETERMINE,NOT APPLICABLE,0,0,0,0,7,6,9,231,MILWAUKEE AVE,41.996857,-87.626,09/29/2017 08:41:00 AM,2017
CR00000006,07/02/2019 09:04:00 AM,30,SNOW,DARKNESS - LIGHTED ROAD,TURNING,FOUR WAY,TRAFFIC SIGNAL,UNABLE TO DETERMINE,FOLLOWING TOO CLOSELY,0,0,0,0,9,3,7,671,MICHIGAN AVE,41.982873,-87.543271,07/02/2019 09:45:00 AM,2019
CR00000007,05/10/2023 04:34:00 PM,30,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,NO CONTROLS,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,0,0,0,0,16,4,5,549,HALSTED ST,41.875376,-87.535762,05/10/2023 05:26:00 PM,2023
CR00000008,01/14/2022 07:50:00 AM,35,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STOP SIGN/FLASHER,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,0,0,0,0,7,6,1,2299,IRVING PARK RD,41.878923,-87.715331,01/14/2022 09:07:00 AM,2022
CR00000009,12/28/2017 08:41:00 PM,30,CLEAR,DAWN,REAR END,ONE-WAY,NO CONTROLS,DISTRACTION - FROM INSIDE VEHICLE,FOLLOWING TOO CLOSELY,0,0,0,0,20,5,12,2179,DIVISION ST,41.78805,-87.794645,12/28/2017 08:42:00 PM,2017
CR00000010,03/25/2017 07:23:00 AM,15,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,0,0,0,0,7,7,3,1359,MICHIGAN AVE,41.861814,-87.577481,03/25/2017 08:31:00 AM,2017
CR00000011,08/26/2015 09:56:00 AM,20,FOG/SMOKE/HAZE,DARKNESS - LIGHTED ROAD,REAR TO FRONT,NOT DIVIDED,NO CONTROLS,DISTRACTION - FROM INSIDE VEHICLE,IMPROPER OVERTAKING/PASSING,0,0,0,0,9,4,8,2351,STONY ISLAND AVE,41.723627,-87.593832,08/26/2015 11:41:00 AM,2015
CR00000012,12/21/2017 03:55:00 PM,30,CLOUDY/OVERCAST,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER OVERTAKING/PASSING,0,0,0,0,15,5,12,2219,CALIFORNIA AVE,41.989309,-87.52488,12/21/2017 05:32:00 PM,2017
CR00000013,05/10/2016 09:14:00 AM,30,CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,9,3,5,228,MILWAUKEE AVE,41.70631,-87.656127,05/10/2016 10:30:00 AM,2016
CR00000014,10/18/2015 03:15:00 PM,45,RAIN,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,ONE-WAY,TRAFFIC SIGNAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,15,1,10,497,63RD ST,41.845624,-87.661268,10/18/2015 04:48:00 PM,2015
CR00000015,11/01/2019 12:27:00 PM,20,CLEAR,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),NO CONTROLS,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,0,0,0,0,12,6,11,879,ELSTON AVE,41.959151,-87.83104,11/01/2019 01:51:00 PM,2019
CR00000016,01/12/2020 07:27:00 AM,35,RAIN,DAYLIGHT,REAR END,FOUR WAY,TRAFFIC SIGNAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,7,1,1,1068,STONY ISLAND AVE,41.838788,-87.54393,01/12/2020 07:37:00 AM,2020
